well_id,rows,TVT_min,TVT_max,TVT_range,TVT_mean,GR_min,GR_max,GR_range,GR_mean,geo_unique,geo_missing_pct
000d7d20,1296,11223.95,11871.45,647.5,11547.699999999999,28.66,158.17999999999998,129.51999999999998,83.25763888888889,10,23.070987654320987
00bbac68,1946,11394.45,12366.95,972.5,11880.7,31.86,215.44,183.57999999999998,92.3441726618705,6,47.3792394655704
00e12e8b,2556,10593.95,11871.45,1277.5,11232.699999999999,28.66,195.42,166.76,95.76901408450705,10,60.99374021909233
015fe0d2,1265,11734.95,12366.95,632.0,12050.949999999997,31.86,215.44,183.57999999999998,81.7350118577075,6,19.051383399209488
01869cd4,1052,11345.95,11871.45,525.5,11608.699999999999,28.66,145.20999999999998,116.54999999999998,76.89226235741445,10,5.228136882129278
01982c1d,2213,9915.37,11021.27,1105.8999999999996,10468.310704925441,30.96,207.46,176.5,94.23446452779032,10,47.537279710799815
028d7b28,1774,11862.45,12748.95,886.5,12305.7,29.71,233.85,204.14,83.02681510710259,6,39.00789177001127
02e7fe5a,1006,11782.62,12285.1,502.47999999999956,12033.857246520873,26.77,120.06,93.29,63.92459244532803,6,1.0934393638170974
0390d174,1709,10102.6,10956.570000000002,853.9700000000012,10529.584341720305,22.9,177.14999999999998,154.24999999999997,69.85925687536572,6,31.36337039204213
03a935ae,1616,12179.95,12987.45,807.5,12583.699999999999,21.06,214.25,193.19,84.53152227722772,5,49.81435643564357
044af7d1,1503,11300.9,12051.84,750.9400000000005,11676.373013972056,32.93,238.11,205.18,89.56046573519627,6,19.960079840319363
0498acab,1914,10638.42,11594.55,956.1299999999992,11116.528448275862,27.21,224.46,197.25,85.15380877742948,6,35.318704284221525
052d64df,2170,10510.42,11594.55,1084.1299999999992,11052.545147465438,27.21,224.46,197.25,88.2105069124424,6,42.94930875576037
05948241,1900,10014.47,10963.71,949.2399999999998,10489.115205263159,24.5,198.91,174.41,90.09732631578946,7,40.94736842105263
059c8f24,1634,9544.45,10362.45,818.0,9952.808323133413,19.08,195.58,176.5,85.45225214198285,7,29.069767441860467
05a0ee4d,1843,11130.9,12051.84,920.9400000000005,11591.37799240369,32.93,238.11,205.18,95.28601736299512,6,34.725990233315244
060ab2b8,1082,9997.22,11077.56,1080.3400000000001,10537.423022181147,23.92,192.06,168.14,91.88214417744916,7,0.0
06df5958,1234,10755.95,11372.45,616.5,11064.199999999999,29.9,231.0,201.1,87.96239870340357,6,20.583468395461914
071d7b45,1088,10125.070000000002,10668.02,542.9499999999989,10396.54380514706,24.39,141.2,116.80999999999999,64.90039522058824,6,0.0
0849b4e2,2288,11038.45,12181.95,1143.5,11610.199999999999,34.4,157.26,122.85999999999999,82.42093094405595,10,46.80944055944056
084d66f9,2060,10115.96,11145.28,1029.3200000000015,10630.603747572815,23.41,153.88,130.47,80.67446116504856,7,43.203883495145625
08fecf00,4437,11217.12,12325.65,1108.5299999999988,11771.471156186613,26.38,179.08999999999995,152.70999999999995,83.12580347081361,7,48.636466080685146
09053135,1856,10664.45,11591.95,927.5,11128.2,25.9,145.91,120.00999999999999,83.95696659482759,6,37.5
09441b8d,2055,10339.45,11366.45,1027.0,10852.95,22.82,168.04,145.22,85.83227250608273,6,41.216545012165454
